                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.9338,                 1.9102,                 1.2879,                0.86169,                0.71111,                0.84574,                0.64039,                0.68367,                 2.2646,                 1.3608,                 0.0006,                 0.0006,                 0.0006
                      2,                0.62689,                 1.0823,                 1.0721,                0.64047,                0.58889,                0.59066,                0.43534,                0.97401,                 2.3758,                 1.5408,              0.0012079,              0.0012079,              0.0012079
                      3,                0.66292,                0.94659,                 1.0896,                0.83501,                0.78728,                0.84987,                0.66292,                0.85486,                 1.5217,                 1.6464,              0.0018036,              0.0018036,              0.0018036
                      4,                0.63766,                0.85486,                 1.0817,                0.72611,                0.77778,                0.77804,                0.48749,                 1.2296,                 2.1005,                 1.6361,              0.0019406,              0.0019406,              0.0019406
                      5,                0.67428,                0.80534,                 1.0846,                0.64496,                0.80738,                0.80271,                 0.6196,                0.73422,                  1.431,                 1.3253,              0.0019208,              0.0019208,              0.0019208
                      6,                0.62625,                0.72854,                 1.0735,                0.73062,                0.72328,                0.76726,                0.57382,                0.98954,                 1.3082,                 1.4989,               0.001901,               0.001901,               0.001901
                      7,                0.58838,                0.65892,                 1.0381,                0.81527,                0.77778,                0.85239,                 0.6689,                0.69299,                 1.1471,                 1.3206,              0.0018812,              0.0018812,              0.0018812
                      8,                0.58255,                0.64305,                 1.0458,                 0.8777,                0.87715,                0.92993,                0.75941,                0.61867,                 1.0603,                 1.2228,              0.0018614,              0.0018614,              0.0018614
                      9,                 0.6024,                0.60534,                  1.038,                0.94003,                    0.9,                0.94956,                0.76975,                0.62657,                0.83042,                 1.2135,              0.0018416,              0.0018416,              0.0018416
                     10,                0.56021,                0.55554,                  1.029,                  0.946,                0.92222,                0.96987,                0.80662,                0.60681,                0.54867,                 1.1526,              0.0018218,              0.0018218,              0.0018218
